,packet_length,header_length,subtype,duration,datarate,class
0,38,18,0x001b,176,24,normal
1,38,18,0x001b,176,12,normal
2,50,18,0x0019,0,24,normal
3,113,21,0x0028,19948,58.5,normal
4,38,18,0x001b,164,24,normal
5,32,18,0x001c,120,24,normal
6,174,21,0x0028,36,65,normal
7,50,18,0x0019,0,24,normal
8,107,21,0x0028,19952,65,normal
9,38,18,0x001b,168,24,normal
10,32,18,0x001c,124,24,normal
11,189,21,0x0028,36,65,normal
12,50,18,0x0019,0,24,normal
13,113,21,0x0028,19948,58.5,normal
14,38,18,0x001b,164,24,normal
15,32,18,0x001c,120,24,normal
16,148,21,0x0028,36,65,normal
17,50,18,0x0019,0,24,normal
18,113,21,0x0028,19952,65,normal
19,38,18,0x001b,164,24,normal
20,32,18,0x001c,120,24,normal
21,146,21,0x0028,36,65,normal
22,50,18,0x0019,0,24,normal
23,113,21,0x0028,19952,65,normal
24,38,18,0x001b,164,24,normal
25,159,21,0x0028,36,65,normal
26,50,18,0x0019,0,24,normal
27,38,18,0x001b,160,24,normal
28,32,18,0x001c,116,24,normal
29,115,21,0x0028,36,65,normal
30,50,18,0x0019,0,24,normal
31,107,21,0x0028,19948,58.5,normal
32,38,18,0x001b,164,24,normal
33,32,18,0x001c,120,24,normal
34,154,21,0x0028,36,65,normal
35,50,18,0x0019,0,24,normal
36,38,18,0x001b,164,24,normal
37,38,18,0x001b,164,18,normal
38,38,18,0x001b,164,12,normal
39,38,18,0x001b,164,9,normal
40,38,18,0x001b,164,6,normal
41,32,18,0x001c,104,6,normal
42,146,21,0x0028,36,65,normal
43,50,18,0x0019,0,24,normal
44,163,21,0x0028,19944,58.5,normal
45,113,21,0x0028,19948,58.5,normal
46,32,18,0x001c,116,24,normal
47,113,21,0x0028,36,65,normal
48,50,18,0x0019,0,24,normal
49,38,18,0x001b,160,24,normal
50,113,21,0x0028,19952,65,normal
51,133,21,0x0028,19948,58.5,normal
52,38,18,0x001b,164,24,normal
53,38,18,0x001b,164,18,normal
54,32,18,0x001c,116,12,normal
55,150,21,0x0028,36,65,normal
56,50,18,0x0019,0,24,normal
57,113,21,0x0028,19948,58.5,normal
58,149,21,0x0028,36,65,normal
59,50,18,0x0019,0,24,normal
60,113,21,0x0028,19948,58.5,normal
61,38,18,0x001b,160,24,normal
62,32,18,0x001c,116,24,normal
63,38,18,0x001b,160,24,normal
64,32,18,0x001c,116,24,normal
65,115,21,0x0028,36,58.5,normal
66,50,18,0x0019,0,24,normal
67,107,21,0x0028,19952,65,normal
68,38,18,0x001b,164,24,normal
69,32,18,0x001c,120,24,normal
70,146,21,0x0028,36,65,normal
71,50,18,0x0019,0,24,normal
72,113,21,0x0028,19948,58.5,normal
73,107,21,0x0028,19948,58.5,normal
74,38,18,0x001b,160,24,normal
75,32,18,0x001c,116,24,normal
76,115,21,0x0028,36,65,normal
77,50,18,0x0019,0,24,normal
78,146,21,0x0028,36,65,normal
79,50,18,0x0019,0,24,normal
80,113,21,0x0028,19948,58.5,normal
81,38,18,0x001b,164,24,normal
82,32,18,0x001c,120,24,normal
83,146,21,0x0028,36,65,normal
84,50,18,0x0019,0,24,normal
85,113,21,0x0028,19948,58.5,normal
86,147,21,0x0028,36,58.5,normal
87,50,18,0x0019,0,24,normal
88,113,21,0x0028,19948,58.5,normal
89,38,18,0x001b,164,24,normal
90,38,18,0x001b,164,18,normal
91,38,18,0x001b,164,12,normal
92,32,18,0x001c,116,12,normal
93,146,21,0x0028,36,65,normal
94,50,18,0x0019,0,24,normal
95,38,18,0x001b,160,24,normal
96,32,18,0x001c,116,24,normal
97,115,21,0x0028,36,65,normal
98,50,18,0x0019,0,24,normal
99,107,21,0x0028,19948,58.5,normal
100,38,18,0x001b,168,24,normal
101,32,18,0x001c,124,24,normal
102,186,21,0x0028,36,65,normal
103,50,18,0x0019,0,24,normal
104,113,21,0x0028,19948,58.5,normal
105,107,21,0x0028,19948,58.5,normal
106,38,18,0x001b,160,24,normal
107,32,18,0x001c,116,24,normal
108,115,21,0x0028,36,65,normal
109,50,18,0x0019,0,24,normal
110,278,21,0x0028,19928,58.5,normal
111,38,18,0x001b,164,24,normal
112,32,18,0x001c,120,24,normal
113,153,21,0x0028,36,65,normal
114,50,18,0x0019,0,24,normal
115,32,18,0x001c,120,24,normal
116,148,21,0x0028,36,65,normal
117,50,18,0x0019,0,24,normal
118,113,21,0x0028,19948,58.5,normal
119,38,18,0x001b,164,18,normal
120,32,18,0x001c,116,12,normal
121,146,21,0x0028,36,65,normal
122,50,18,0x0019,0,24,normal
123,113,21,0x0028,19948,58.5,normal
124,113,21,0x0028,19948,58.5,normal
125,38,18,0x001b,164,24,normal
126,32,18,0x001c,120,24,normal
127,148,21,0x0028,36,65,normal
128,50,18,0x0019,0,24,normal
129,38,18,0x001b,160,24,normal
130,38,18,0x001b,160,18,normal
131,38,18,0x001b,160,12,normal
132,38,18,0x001b,160,9,normal
133,38,18,0x001b,160,6,normal
134,107,21,0x0028,19948,58.5,normal
135,38,18,0x001b,160,24,normal
136,32,18,0x001c,116,24,normal
137,115,21,0x0028,36,65,normal
138,50,18,0x0019,0,24,normal
139,38,18,0x001b,164,24,normal
140,32,18,0x001c,120,24,normal
141,152,21,0x0028,36,65,normal
142,50,18,0x0019,0,24,normal
143,38,18,0x001b,164,24,normal
144,38,18,0x001b,164,24,normal
145,32,18,0x001c,120,24,normal
146,146,21,0x0028,36,58.5,normal
147,50,18,0x0019,0,24,normal
148,113,21,0x0028,19948,58.5,normal
149,38,18,0x001b,164,9,normal
150,32,18,0x001c,104,6,normal
151,149,21,0x0028,36,65,normal
152,50,18,0x0019,0,24,normal
153,38,18,0x001b,164,24,normal
154,32,18,0x001c,120,24,normal
155,146,21,0x0028,36,65,normal
